ROTESTE PIXEL KOORDINATEN
==================================================

Anzahl vertikaler Linien: 500
Marker-Größe: 5 px
Boden-ROI-Größe: 2624 x 2624 px

Gefundene roteste Pixel: 500

  Linie 407: x=2132, y=1439
  Linie 408: x=2135, y=1439
  Linie 409: x=2141, y=1439
  Linie 410: x=2148, y=1441
  Linie 411: x=2155, y=1441
  Linie 412: x=2156, y=1442
  Linie 413: x=2162, y=1444
  Linie 414: x=2167, y=1444
  Linie 415: x=2173, y=1446
  Linie 416: x=2177, y=1446
  Linie 417: x=2183, y=1445
  Linie 418: x=2188, y=1447
  Linie 419: x=2193, y=1447
  Linie 420: x=2198, y=1452
  Linie 421: x=2208, y=1487
  Linie 422: x=2209, y=1488
  Linie 423: x=2218, y=1495
  Linie 424: x=2220, y=1491
  Linie 425: x=2229, y=1518
  Linie 426: x=2234, y=1458
  Linie 427: x=2239, y=1456
  Linie 428: x=2242, y=1456
  Linie 429: x=2246, y=1456
  Linie 430: x=2255, y=1460
  Linie 431: x=2260, y=1460
  Linie 432: x=2263, y=1461
  Linie 433: x=2271, y=1464
  Linie 434: x=2276, y=1466
  Linie 435: x=2281, y=1467
  Linie 436: x=2282, y=1467
  Linie 437: x=2288, y=1465
  Linie 438: x=2293, y=1464
  Linie 439: x=2302, y=1466
  Linie 440: x=2303, y=1464
  Linie 441: x=2312, y=1475
  Linie 442: x=2316, y=1474
  Linie 443: x=2319, y=1472
  Linie 444: x=2327, y=1477
  Linie 445: x=2330, y=1473
  Linie 446: x=2339, y=1473
  Linie 447: x=2344, y=1475
  Linie 448: x=2345, y=1475
  Linie 449: x=2351, y=1478
  Linie 450: x=2360, y=644
  Linie 451: x=2365, y=597
  Linie 452: x=2370, y=2388
  Linie 453: x=2372, y=2386
  Linie 454: x=2381, y=2311
  Linie 455: x=2385, y=2366
  Linie 456: x=2392, y=1485
  Linie 457: x=2395, y=1484
  Linie 458: x=2399, y=1486
  Linie 459: x=2403, y=1486
  Linie 460: x=2413, y=2140
  Linie 461: x=2417, y=2139
  Linie 462: x=2419, y=2138
  Linie 463: x=2428, y=2171
  Linie 464: x=2434, y=2173
  Linie 465: x=2439, y=2168
  Linie 466: x=2440, y=2168
  Linie 467: x=2445, y=2183
  Linie 468: x=2454, y=2602
  Linie 469: x=2457, y=2623
  Linie 470: x=2464, y=2621
  Linie 471: x=2466, y=2612
  Linie 472: x=2471, y=2606
  Linie 473: x=2477, y=2604
  Linie 474: x=2482, y=2597
  Linie 475: x=2488, y=2586
  Linie 476: x=2492, y=537
  Linie 477: x=2498, y=495
  Linie 478: x=2507, y=1544
  Linie 479: x=2509, y=1541
  Linie 480: x=2518, y=1527
  Linie 481: x=2523, y=1524
  Linie 482: x=2528, y=1519
  Linie 483: x=2529, y=1518
  Linie 484: x=2534, y=1513
  Linie 485: x=2544, y=1519
  Linie 486: x=2549, y=1515
  Linie 487: x=2553, y=1509
  Linie 488: x=2555, y=1508
  Linie 489: x=2561, y=1504
  Linie 490: x=2570, y=1533
  Linie 491: x=2575, y=667
  Linie 492: x=2581, y=1556
  Linie 493: x=2586, y=1542
  Linie 494: x=2591, y=1540
  Linie 495: x=2596, y=1532
  Linie 496: x=2600, y=1525
  Linie 497: x=2603, y=1517
  Linie 498: x=2608, y=1513
  Linie 499: x=2616, y=1535
  Linie 500: x=2618, y=1534
