LASER-LINIEN STARTPUNKTE
==================================================

ROI-Groesse: 2316 x 2316 px
Rand-Margin: 23 px (1.0%)
Gap-Toleranz: 23 px (1.0%)

Vertikale Startpunkte (am linken Rand): 352
  H349: x=1784, y=2308
  H350: x=1892, y=2308
  H351: x=1936, y=2308
  H352: x=1975, y=2308
  H353: x=90, y=2309
  H354: x=267, y=2309
  H355: x=379, y=2309
  H356: x=513, y=2309
  H357: x=538, y=2309
  H358: x=633, y=2309
  H359: x=684, y=2309
  H360: x=774, y=2309
  H361: x=929, y=2309
  H362: x=984, y=2309
  H363: x=1050, y=2309
  H364: x=1138, y=2309
  H365: x=1173, y=2309
  H366: x=1319, y=2309
  H367: x=1574, y=2309
  H368: x=1605, y=2309
  H369: x=1635, y=2309
  H370: x=1780, y=2309
  H371: x=1843, y=2309
  H372: x=1892, y=2309
  H373: x=1949, y=2309
  H374: x=84, y=2310
  H375: x=218, y=2310
  H376: x=379, y=2310
  H377: x=515, y=2310
  H378: x=540, y=2310
  H379: x=633, y=2310
  H380: x=766, y=2310
  H381: x=886, y=2310
  H382: x=985, y=2310
  H383: x=1032, y=2310
  H384: x=1287, y=2310
  H385: x=1328, y=2310
  H386: x=1360, y=2310
  H387: x=1394, y=2310
  H388: x=1451, y=2310
  H389: x=1573, y=2310
  H390: x=1609, y=2310
  H391: x=1787, y=2310
  H392: x=1843, y=2310
  H393: x=1903, y=2310
  H394: x=1951, y=2310
  H395: x=92, y=2311
  H396: x=223, y=2311
  H397: x=346, y=2311
  H398: x=526, y=2311
  H399: x=633, y=2311
  H400: x=683, y=2311
  H401: x=737, y=2311
  H402: x=985, y=2311
  H403: x=1032, y=2311
  H404: x=1118, y=2311
  H405: x=1183, y=2311
  H406: x=1289, y=2311
  H407: x=1323, y=2311
  H408: x=1461, y=2311
  H409: x=1555, y=2311
  H410: x=1603, y=2311
  H411: x=1740, y=2311
  H412: x=1780, y=2311
  H413: x=1936, y=2311
  H414: x=85, y=2312
  H415: x=219, y=2312
  H416: x=350, y=2312
  H417: x=380, y=2312
  H418: x=526, y=2312
  H419: x=698, y=2312
  H420: x=737, y=2312
  H421: x=887, y=2312
  H422: x=930, y=2312
  H423: x=954, y=2312
  H424: x=1032, y=2312
  H425: x=1183, y=2312
  H426: x=1218, y=2312
  H427: x=1318, y=2312
  H428: x=1365, y=2312
  H429: x=1454, y=2312
  H430: x=1565, y=2312
  H431: x=1603, y=2312
  H432: x=1629, y=2312
  H433: x=1804, y=2312
  H434: x=1832, y=2312
  H435: x=89, y=2313
  H436: x=221, y=2313
  H437: x=269, y=2313
  H438: x=383, y=2313
  H439: x=541, y=2313
  H440: x=632, y=2313
  H441: x=693, y=2313
  H442: x=764, y=2313
  H443: x=837, y=2313
  H444: x=887, y=2313
  H445: x=917, y=2313
  H446: x=988, y=2313
  H447: x=1032, y=2313
  H448: x=1113, y=2313
  H449: x=1183, y=2313
  H450: x=1209, y=2313
  H451: x=1318, y=2313
  H452: x=1368, y=2313
  H453: x=1454, y=2313
  H454: x=1565, y=2313
  H455: x=1626, y=2313
  H456: x=1779, y=2313
  H457: x=1877, y=2313
  H458: x=1903, y=2313
  H459: x=1938, y=2313
  H460: x=86, y=2314
  H461: x=218, y=2314
  H462: x=265, y=2314
  H463: x=384, y=2314
  H464: x=545, y=2314
  H465: x=645, y=2314
  H466: x=686, y=2314
  H467: x=747, y=2314
  H468: x=774, y=2314
  H469: x=887, y=2314
  H470: x=916, y=2314
  H471: x=985, y=2314
  H472: x=1032, y=2314
  H473: x=1318, y=2314
  H474: x=1435, y=2314
  H475: x=1547, y=2314
  H476: x=1601, y=2314
  H477: x=1629, y=2314
  H478: x=1777, y=2314
  H479: x=1893, y=2314
  H480: x=1945, y=2314
  H481: x=89, y=2315
  H482: x=220, y=2315
  H483: x=257, y=2315
  H484: x=324, y=2315
  H485: x=526, y=2315
  H486: x=566, y=2315
  H487: x=639, y=2315
  H488: x=684, y=2315
  H489: x=738, y=2315
  H490: x=930, y=2315
  H491: x=968, y=2315
  H492: x=1032, y=2315
  H493: x=1126, y=2315
  H494: x=1309, y=2315
  H495: x=1384, y=2315
  H496: x=1422, y=2315
  H497: x=1473, y=2315
  H498: x=1517, y=2315
  H499: x=1623, y=2315
  H500: x=1802, y=2315
  H501: x=1884, y=2315
  H502: x=1926, y=2315
  H503: x=1975, y=2315

Einstellungen:
  Rot-Verstaerkung: AN
  Saettigung-Faktor: 2.0
  Helligkeit-Faktor: 1.5
  Gamma: 1.3
  CLAHE: AN
  CLAHE Clip-Limit: 3.0
  CLAHE Tile-Size: 8
